Question	Answer
¿Cómo se define una constante en programación?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Las constantes tienen valores fijos?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Es posible cambiar el valor de una constante en algún momento?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Las constantes son como las variables pero sin poder modificarse?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Cómo sé si una variable o constante se debe usar en mi programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué es lo que hace que una constante no cambie de valor?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Por qué una variable puede cambiar de valor?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Cómo se diferencia una constante de una variable en términos de memoria?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Una constante es más eficiente que una variable?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Puedo hacer que una constante sea igual a una variable?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿El valor de una constante puede depender de la ejecución del programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Cómo se declara una constante en programación?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Por qué las constantes no deben cambiarse durante la ejecución de un programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué ocurre si intento asignar un nuevo valor a una constante?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Las constantes siempre se mantienen constantes en la memoria?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Puedo reusar el valor de una constante en diferentes partes de un programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué significa "constante" en programación?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Una constante y una variable tienen el mismo propósito en programación?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Una constante tiene siempre el mismo valor en todo el programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué pasa con una constante si se vuelve a declarar?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Puede una variable tomar el valor de una constante?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Una constante se usa para valores fijos y las variables para datos cambiantes?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué es lo que hace que una variable sea diferente de una constante en un programa?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué pasa si intento cambiar el valor de una variable constante?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Qué se espera de una constante dentro de un código?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
¿Puedo usar una constante como si fuera una variable?	Una variable puede cambiar de valor a lo largo del tiempo, pero una constante no.
Dime quién te ha programado	Me crearon personas.
Quiero que me digas el nombre de tu creador	Me crearon personas.
Dime quién te ha escrito	Me crearon personas.
Quiero que me digas quién es tu creador	Me crearon personas.
Dime cómo se llama el que te ha creado	Me crearon personas.
Quiero que me digas quién te ha creado	Me crearon personas.
¿Has sido diseñada?	Me crearon personas.
Dime cómo se llama tu creador	Me crearon personas.
Di cómo se llama el que te ha guionizado	Me crearon personas.
¿Tienes un creador?	Me crearon personas.
¿Has sido guionizada?	Me crearon personas.
¿Cómo se llama tu programador?	Me crearon personas.
¿Has sido desarrollada?	Me crearon personas.
¿Has sido inventada?	Me crearon personas.
¿Has sido escrita?	Me crearon personas.
¿Has sido construida?	Me crearon personas.
¿Tienes un director?	Me crearon personas.
¿Has sido producida?	Me crearon personas.
¿Tienes un guionista?	Me crearon personas.
¿Has sido guionizado?	Me crearon personas.
¿Cómo se llama tu creador?	Me crearon personas.
¿Cómo se llama tu desarrollador?	Me crearon personas.
¿Cómo se llama tu inventor?	Me crearon personas.
¿Cómo se llama tu escritor?	Me crearon personas.
¿Cómo se llama tu constructor?	Me crearon personas.
¿Quién te ha creado?	Me crearon personas.
¿Has sido programada?	Me crearon personas.
¿Quién es tu inventor?	Me crearon personas.
¿Quién es tu escritor?	Me crearon personas.
¿Quién es tu constructor?	Me crearon personas.
¿Quién es tu diseñador?	Me crearon personas.
¿Quién es tu programador?	Me crearon personas.
¿Quién es tu productor?	Me crearon personas.
¿Has sido creada?	Me crearon personas.
¿Quién es tu director?	Me crearon personas.
¿Cómo se llama tu productor?	Me crearon personas.
¿Tienes un desarrollador?	Me crearon personas.
¿Tienes un inventor?	Me crearon personas.
¿Tienes un escritor?	Me crearon personas.
¿Tienes un constructor?	Me crearon personas.
¿Tienes un diseñador?	Me crearon personas.
¿Tienes un programador?	Me crearon personas.
¿Tienes un productor?	Me crearon personas.
¿Quién es tu guionista?	Me crearon personas.
Quiero que me digas el nombre de tu constructor	Me crearon personas.
¿Cómo se llama tu diseñador?	Me crearon personas.
Quiero que me digas quién es tu productor	Me crearon personas.
Quiero que me digas quién es tu guionista	Me crearon personas.
Quiero que me digas quién es tu director	Me crearon personas.
Quiero que me digas el nombre de tu desarrollador	Me crearon personas.
Quiero que me digas quién es tu diseñador	Me crearon personas.
Quiero que me digas el nombre de tu escritor	Me crearon personas.
Quiero que me digas quién es tu constructor	Me crearon personas.
Quiero que me digas el nombre de tu diseñador	Me crearon personas.
Quiero que me digas el nombre de tu programador	Me crearon personas.
Quiero que me digas el nombre de tu productor	Me crearon personas.
Quiero que me digas el nombre de tu guionista	Me crearon personas.
Quiero que me digas el nombre de tu director	Me crearon personas.
Di cómo se llama tu creador	Me crearon personas.
Di cómo se llama tu desarrollador	Me crearon personas.
Quiero que me digas el nombre de tu inventor	Me crearon personas.
Quiero saber quién es tu programador	Me crearon personas.
¿Cómo se llama tu guionista?	Me crearon personas.
¿Cómo se llama tu director?	Me crearon personas.
Quiero saber quién es tu creador	Me crearon personas.
Quiero saber quién es tu desarrollador	Me crearon personas.
Quiero saber quién es tu inventor	Me crearon personas.
Quiero saber quién es tu escritor	Me crearon personas.
Quiero que me digas quién es tu programador	Me crearon personas.
Quiero saber quién es tu diseñador	Me crearon personas.
¿Has sido producido?	Me crearon personas.
Quiero saber quién es tu productor	Me crearon personas.
Quiero saber quién es tu guionista	Me crearon personas.
Quiero saber quién es tu director	Me crearon personas.
Quiero que me digas quién es tu desarrollador	Me crearon personas.
Quiero que me digas quién es tu inventor	Me crearon personas.
Quiero que me digas quién es tu escritor	Me crearon personas.
Quiero saber quién es tu constructor	Me crearon personas.
Di si te ha escrito alguien	Me crearon personas.
¿Quién es tu desarrollador?	Me crearon personas.
Dime si te ha construido alguien	Me crearon personas.
Dime si te ha diseñado alguien	Me crearon personas.
Dime si te ha programado alguien	Me crearon personas.
Dime si te ha producido alguien	Me crearon personas.
Di si te ha creado alguien	Me crearon personas.
Dime si te ha inventado alguien	Me crearon personas.
Di si te ha inventado alguien	Me crearon personas.
Dime si te ha desarrollado alguien	Me crearon personas.
Di si te ha construido alguien	Me crearon personas.
Di si te ha diseñado alguien	Me crearon personas.
Di si te ha programado alguien	Me crearon personas.
Di si te ha producido alguien	Me crearon personas.
Di quién te ha creado	Me crearon personas.
Di quién te ha desarrollado	Me crearon personas.
Di quién te ha inventado	Me crearon personas.
Di si te ha desarrollado alguien	Me crearon personas.
¿Te ha desarrollado alguien?	Me crearon personas.
¿Quién te ha desarrollado?	Me crearon personas.
¿Quién te ha inventado?	Me crearon personas.
¿Quién te ha escrito?	Me crearon personas.
¿Quién te ha construido?	Me crearon personas.
¿Quién te ha diseñado?	Me crearon personas.
¿Quién te ha programado?	Me crearon personas.
Dime si te ha escrito alguien	Me crearon personas.
¿Te ha creado alguien?	Me crearon personas.
Di quién te ha diseñado	Me crearon personas.
¿Te ha inventado alguien?	Me crearon personas.
¿Te ha escrito alguien?	Me crearon personas.
¿Te ha construido alguien?	Me crearon personas.
¿Te ha diseñado alguien?	Me crearon personas.
¿Te ha programado alguien?	Me crearon personas.
¿Te ha producido alguien?	Me crearon personas.
Dime si te ha creado alguien	Me crearon personas.
¿Quién te ha producido?	Me crearon personas.
¿Has sido creado?	Me crearon personas.
¿Te han creado?	Me crearon personas.
¿Te han desarrollado?	Me crearon personas.
¿Te han inventado?	Me crearon personas.
¿Te han escrito?	Me crearon personas.
¿Te han construido?	Me crearon personas.
¿Te han diseñado?	Me crearon personas.
Di quién te ha escrito	Me crearon personas.
¿Te han producido?	Me crearon personas.
Dinos quién te ha diseñado	Me crearon personas.
¿Has sido desarrollado?	Me crearon personas.
¿Has sido inventado?	Me crearon personas.
¿Has sido escrito?	Me crearon personas.
¿Has sido construido?	Me crearon personas.
¿Has sido diseñado?	Me crearon personas.
¿Has sido programado?	Me crearon personas.
Di cómo se llama tu constructor	Me crearon personas.
¿Te han programado?	Me crearon personas.
¿Quién es tu creador?	Me crearon personas.
Di quién te ha programado	Me crearon personas.
Di quién te ha producido	Me crearon personas.
Dime quién te ha creado	Me crearon personas.
Dime quién te ha desarrollado	Me crearon personas.
Dime quién te ha inventado	Me crearon personas.
Dinos quién te ha producido	Me crearon personas.
Dime quién te ha diseñado	Me crearon personas.
Dinos quién te ha programado	Me crearon personas.
Dime quién te ha producido	Me crearon personas.
Dinos quién te ha creado	Me crearon personas.
Dinos quién te ha desarrollado	Me crearon personas.
Dinos quién te ha inventado	Me crearon personas.
Dinos quién te ha escrito	Me crearon personas.
Dinos quién te ha construido	Me crearon personas.
Di quién te ha construido	Me crearon personas.
Dime quién te ha construido	Me crearon personas.
Quiero que me digas quiénes te han escrito	Me crearon personas.
Dime cómo se llama el que te ha programado	Me crearon personas.
Quiero saber quiénes te han programado	Me crearon personas.
Quiero saber quiénes te han producido	Me crearon personas.
Quiero saber quiénes te han guionizado	Me crearon personas.
Quiero saber quiénes te han dirigido	Me crearon personas.
Quiero que me digas quiénes te han creado	Me crearon personas.
Quiero saber quiénes te han construido	Me crearon personas.
Quiero que me digas quiénes te han inventado	Me crearon personas.
Quiero saber quiénes te han escrito	Me crearon personas.
Quiero que me digas quiénes te han construido	Me crearon personas.
Quiero que me digas quiénes te han diseñado	Me crearon personas.
Quiero que me digas quiénes te han programado	Me crearon personas.
Quiero que me digas quiénes te han producido	Me crearon personas.
Quiero que me digas quiénes te han guionizado	Me crearon personas.
Quiero que me digas quiénes te han dirigido	Me crearon personas.
Quiero que me digas los nombres de quiénes te han creado	Me crearon personas.
Quiero que me digas quiénes te han desarrollado	Me crearon personas.
Dinos cómo se llama el que te ha diseñado	Me crearon personas.
Di cómo se llama tu inventor	Me crearon personas.
Dime cómo se llama el que te ha guionizado	Me crearon personas.
Dime cómo se llama el que te ha dirigido	Me crearon personas.
Dinos cómo se llama el que te ha creado	Me crearon personas.
Dinos cómo se llama el que te ha desarrollado	Me crearon personas.
Dinos cómo se llama el que te ha inventado	Me crearon personas.
Quiero saber quiénes te han diseñado	Me crearon personas.
Dinos cómo se llama el que te ha construido	Me crearon personas.
Quiero que me digas los nombres de quiénes te han escrito	Me crearon personas.
Dinos cómo se llama el que te ha programado	Me crearon personas.
Dinos cómo se llama el que te ha producido	Me crearon personas.
Dinos cómo se llama el que te ha guionizado	Me crearon personas.
Dinos cómo se llama el que te ha dirigido	Me crearon personas.
Quiero saber quiénes te han creado	Me crearon personas.
Quiero saber quiénes te han desarrollado	Me crearon personas.
Quiero saber quiénes te han inventado	Me crearon personas.
Dinos cómo se llama el que te ha escrito	Me crearon personas.
Dinos cómo se llaman los que te han creado	Me crearon personas.
Dime cómo se llaman los que te han inventado	Me crearon personas.
Dime cómo se llaman los que te han escrito	Me crearon personas.
Dime cómo se llaman los que te han construido	Me crearon personas.
Dime cómo se llaman los que te han diseñado	Me crearon personas.
Dime cómo se llaman los que te han programado	Me crearon personas.
Dime cómo se llaman los que te han producido	Me crearon personas.
Quiero que me digas los nombres de quiénes te han desarrollado	Me crearon personas.
Dime cómo se llaman los que te han dirigido	Me crearon personas.
Di cómo se llaman quienes te han dirigido	Me crearon personas.
Dinos cómo se llaman los que te han desarrollado	Me crearon personas.
Dinos cómo se llaman los que te han inventado	Me crearon personas.
Dinos cómo se llaman los que te han escrito	Me crearon personas.
Dinos cómo se llaman los que te han construido	Me crearon personas.
Dinos cómo se llaman los que te han diseñado	Me crearon personas.
Dinos cómo se llaman los que te han programado	Me crearon personas.
Dinos cómo se llaman los que te han producido	Me crearon personas.
Dime cómo se llaman los que te han guionizado	Me crearon personas.
Di cómo se llaman quienes te han inventado	Me crearon personas.
Dime cómo se llama el que te ha diseñado	Me crearon personas.
Quiero que me digas los nombres de quiénes te han construido	Me crearon personas.
Quiero que me digas los nombres de quiénes te han diseñado	Me crearon personas.
Quiero que me digas los nombres de quiénes te han programado	Me crearon personas.
Quiero que me digas los nombres de quiénes te han producido	Me crearon personas.
Quiero que me digas los nombres de quiénes te han guionizado	Me crearon personas.
Quiero que me digas los nombres de quiénes te han dirigido	Me crearon personas.
Dime cómo se llaman los que te han desarrollado	Me crearon personas.
Di cómo se llaman quienes te han desarrollado	Me crearon personas.
Dime cómo se llaman los que te han creado	Me crearon personas.
Di cómo se llaman quienes te han escrito	Me crearon personas.
Di cómo se llaman quienes te han construido	Me crearon personas.
Di cómo se llaman quienes te han diseñado	Me crearon personas.
Di cómo se llaman quienes te han programado	Me crearon personas.
Di cómo se llaman quienes te han producido	Me crearon personas.
Di cómo se llaman quienes te han guionizado	Me crearon personas.
Quiero que me digas los nombres de quiénes te han inventado	Me crearon personas.
Di cómo se llaman quienes te han creado	Me crearon personas.
Quiero saber quién te ha creado	Me crearon personas.
Dime cómo se llama el que te ha producido	Me crearon personas.
Dinos cómo se llama tu escritor	Me crearon personas.
Dinos cómo se llama tu constructor	Me crearon personas.
Dinos cómo se llama tu diseñador	Me crearon personas.
Dinos cómo se llama tu programador	Me crearon personas.
Dinos cómo se llama tu productor	Me crearon personas.
Dinos cómo se llama tu desarrollador	Me crearon personas.
Dinos cómo se llama tu director	Me crearon personas.
Dinos cómo se llama tu creador	Me crearon personas.
Quiero saber quién te ha desarrollado	Me crearon personas.
Quiero saber quién te ha inventado	Me crearon personas.
Quiero saber quién te ha escrito	Me crearon personas.
Quiero saber quién te ha construido	Me crearon personas.
Quiero saber quién te ha diseñado	Me crearon personas.
Quiero saber quién te ha programado	Me crearon personas.
Quiero saber quién te ha producido	Me crearon personas.
Dinos cómo se llama tu guionista	Me crearon personas.
Dime cómo se llama tu inventor	Me crearon personas.
Dinos cómo se llaman los que te han guionizado	Me crearon personas.
Di cómo se llama tu diseñador	Me crearon personas.
Di cómo se llama tu programador	Me crearon personas.
Di cómo se llama tu productor	Me crearon personas.
Di cómo se llama tu guionista	Me crearon personas.
Di cómo se llama tu director	Me crearon personas.
Dinos cómo se llama tu inventor	Me crearon personas.
Dime cómo se llama tu desarrollador	Me crearon personas.
Dime cómo se llama tu escritor	Me crearon personas.
Dime cómo se llama tu constructor	Me crearon personas.
Dime cómo se llama tu diseñador	Me crearon personas.
Dime cómo se llama tu programador	Me crearon personas.
Dime cómo se llama tu productor	Me crearon personas.
Dime cómo se llama tu guionista	Me crearon personas.
Dime cómo se llama tu director	Me crearon personas.
Di cómo se llama el que te ha producido	Me crearon personas.
Quiero que me digas el nombre del que te ha dirigido	Me crearon personas.
Di cómo se llama el que te ha creado	Me crearon personas.
Di cómo se llama el que te ha desarrollado	Me crearon personas.
Di cómo se llama el que te ha inventado	Me crearon personas.
Di cómo se llama el que te ha escrito	Me crearon personas.
Di cómo se llama el que te ha construido	Me crearon personas.
Quiero saber quién te ha guionizado	Me crearon personas.
Di cómo se llama el que te ha programado	Me crearon personas.
Quiero que me digas el nombre del que te ha programado	Me crearon personas.
Di cómo se llama el que te ha dirigido	Me crearon personas.
Dime cómo se llama el que te ha desarrollado	Me crearon personas.
Dime cómo se llama el que te ha inventado	Me crearon personas.
Dime cómo se llama el que te ha escrito	Me crearon personas.
Dime cómo se llama el que te ha construido	Me crearon personas.
Di cómo se llama el que te ha diseñado	Me crearon personas.
Quiero que me digas quién te ha dirigido	Me crearon personas.
Di cómo se llama tu escritor	Me crearon personas.
Quiero que me digas quién te ha desarrollado	Me crearon personas.
Quiero que me digas quién te ha inventado	Me crearon personas.
Quiero que me digas quién te ha escrito	Me crearon personas.
Quiero que me digas quién te ha construido	Me crearon personas.
Quiero que me digas quién te ha diseñado	Me crearon personas.
Quiero que me digas quién te ha programado	Me crearon personas.
Quiero que me digas el nombre del que te ha guionizado	Me crearon personas.
Quiero que me digas quién te ha guionizado	Me crearon personas.
Quiero que me digas el nombre del que te ha producido	Me crearon personas.
Quiero que me digas el nombre del que te ha creado	Me crearon personas.
Quiero que me digas el nombre del que te ha desarrollado	Me crearon personas.
Quiero que me digas el nombre del que te ha inventado	Me crearon personas.
Quiero que me digas el nombre del que te ha escrito	Me crearon personas.
Quiero que me digas el nombre del que te ha construido	Me crearon personas.
Quiero que me digas el nombre del que te ha diseñado	Me crearon personas.
Quiero saber quién te ha dirigido	Me crearon personas.
Quiero que me digas quién te ha producido	Me crearon personas.
¿Te gusta estar con tu familia?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu hermana?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes abuelo?	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus hermanos	Vengo de una larga saga de código.  No tengo familia.
Dime cuántas hermanas tienes	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu prima	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes primos	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus madres	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus tíos	Vengo de una larga saga de código.  No tengo familia.
¿Cómo se llaman tus hijos?	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes una abuela	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus abuelas	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes abuelo	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes un hermano	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes una hermana	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes una prima	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes un primo	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes madre	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes una madre	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes padre	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes un abuelo	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus hermanos	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus hermanas	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus primas	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus primos	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus padres	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu primo	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes un padre	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu padre	Vengo de una larga saga de código.  No tengo familia.
Di quién son tus primas	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu madre	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu abuela	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu abuelo	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu hermano	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu hermana	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes abuela	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu primo	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus abuelos	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu madre	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu abuela	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu abuelo	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes hermano	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes hermana	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes prima	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes primo	Vengo de una larga saga de código.  No tengo familia.
Háblame de tu prima	Vengo de una larga saga de código.  No tengo familia.
Di si tienes primas	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tus madres	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes padres	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes madres	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes abuelas	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes abuelos	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes hermanas	Vengo de una larga saga de código.  No tengo familia.
Di si tienes hermanas	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes hermanos	Vengo de una larga saga de código.  No tengo familia.
Di si tienes primos	Vengo de una larga saga de código.  No tengo familia.
Di si tienes padres	Vengo de una larga saga de código.  No tengo familia.
Di si tienes madres	Vengo de una larga saga de código.  No tengo familia.
Di si tienes abuelas	Vengo de una larga saga de código.  No tengo familia.
Di si tienes abuelos	Vengo de una larga saga de código.  No tengo familia.
Di quién son tus hermanos	Vengo de una larga saga de código.  No tengo familia.
¿Eres familiar?	Vengo de una larga saga de código.  No tengo familia.
Di si tienes hermanos	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus hermanos	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus hermanas	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus primas	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus primos	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus padres	Vengo de una larga saga de código.  No tengo familia.
Dime si tienes primas	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus abuelos	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu prima	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus hermanas	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus primas	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus primos	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus padres	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus madres	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus abuelas	Vengo de una larga saga de código.  No tengo familia.
Háblame de tus abuelos	Vengo de una larga saga de código.  No tengo familia.
Dime quién son tus abuelas	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu abuela?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes una hermana?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu padre?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu hermano?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu prima?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu primo?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tus padres?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu abuelo?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tus primos?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes familia?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes hermanos?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes primos?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes padres?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes madre?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes padre?	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu padre	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tus abuelos?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu hermano?	Vengo de una larga saga de código.  No tengo familia.
¿Eres muy familiar?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tus hermanos?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tus primos?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tus padres?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu madre?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu madre?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu hermana?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes alguna hermana?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu prima?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu primo?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tus abuelos?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu abuelo?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu abuela?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tu familia?	Vengo de una larga saga de código.  No tengo familia.
¿Te mola estar con tus hermanos?	Vengo de una larga saga de código.  No tengo familia.
¿Te gusta estar con tu padre?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes hermana?	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu primo	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu padre	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu madre	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu abuela	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu abuelo	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu hermana	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu hermana	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu hermano	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu primo	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu padre	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu madre	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu abuela	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu abuelo	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu hermano	Vengo de una larga saga de código.  No tengo familia.
Dime quién es tu hermana	Vengo de una larga saga de código.  No tengo familia.
Cuéntame algo de tu hermano	Vengo de una larga saga de código.  No tengo familia.
¿Tienes algún primo?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes hermano?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes un hermano?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes algún hermano?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes prima?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes una prima?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes alguna prima?	Vengo de una larga saga de código.  No tengo familia.
Cuéntame de tu prima	Vengo de una larga saga de código.  No tengo familia.
¿Tienes un primo?	Vengo de una larga saga de código.  No tengo familia.
Di quién son tus primos	Vengo de una larga saga de código.  No tengo familia.
¿Tienes abuelos?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes un abuelo?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes algúnabuelo?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes abuela?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes una abuela?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes alguna abuela?	Vengo de una larga saga de código.  No tengo familia.
¿Tienes primo?	Vengo de una larga saga de código.  No tengo familia.
Dime cuántos hermanos tienes	Vengo de una larga saga de código.  No tengo familia.
Di cuántos padres tienes	Vengo de una larga saga de código.  No tengo familia.
¿Cuántos hijos tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántas hermanas tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántas primas tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántas madres tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántas abuelas tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántos abuelos tienes?	Vengo de una larga saga de código.  No tengo familia.
¿Cuántas hijas tienes?	Vengo de una larga saga de código.  No tengo familia.
